Fecha,Hora,Casa,Visitante
Sep Dom 4,12:30,Unicaja,MoraBanc And
Sep Dom 4,17:00,Hiopos Lleida,UCAM Murcia
Sep Dom 4,17:00,Leyma Coruña,Barça
Sep Dom 4,18:30,Real Madrid,Valencia Basket
Sep Sáb 10,18:00,Surne Bilbao,Leyma Coruña
Oct Sáb 10,18:00,MoraBanc And,Bàsquet Girona
Oct Sáb 10,20:45,Valencia Basket,Dreamland GC
Oct Sáb 10,20:45,Joventut,Baskonia
Oct Dom 11,12:30,Casademont Zgz,Coviran Granada
Nov Dom 11,13:00,La Laguna TFE,Unicaja
Nov Dom 11,17:00,Barça,Hiopos Lleida
Nov Dom 11,17:00,UCAM Murcia,BAXI Manresa
Nov Dom 11,18:30,Río Breogán,Real Madrid
Nov Sáb 17,18:00,Leyma Coruña,MoraBanc And
Dic Sáb 17,18:00,Coviran Granada,Río Breogán
Dic Sáb 17,20:45,Dreamland GC,Joventut
Dic Sáb 17,20:45,Bàsquet Girona,Valencia Basket
Dic Dom 18,12:30,BAXI Manresa,Real Madrid
Ene Dom 18,12:30,Unicaja,UCAM Murcia
Ene Dom 18,17:00,Surne Bilbao,Casademont Zgz
Ene Dom 18,17:00,Hiopos Lleida,La Laguna TFE
Ene Dom 18,18:30,Baskonia,Barça
Ene Sáb 24,18:00,Joventut,Casademont Zgz
Feb Sáb 24,18:00,MoraBanc And,BAXI Manresa
Feb Sáb 24,20:45,Baskonia,Surne Bilbao
Feb Sáb 24,20:45,UCAM Murcia,Leyma Coruña
Feb Dom 25,12:30,Hiopos Lleida,Unicaja
Mar Dom 25,13:00,La Laguna TFE,Valencia Basket
Mar Dom 25,17:00,Río Breogán,Dreamland GC
Mar Dom 25,17:00,Barça,Bàsquet Girona
Mar Dom 25,17:00,Real Madrid,Coviran Granada
Mar Vie 30,20:30,Dreamland GC,UCAM Murcia
Abr Vie 30,20:30,Bàsquet Girona,Hiopos Lleida
Abr Vie 30,20:30,Casademont Zgz,Real Madrid
Abr Vie 30,20:30,Surne Bilbao,Barça
Abr Vie 30,20:30,BAXI Manresa,La Laguna TFE
Abr Vie 30,20:30,Leyma Coruña,Baskonia
Abr Vie 30,20:30,Unicaja,Joventut
Abr Vie 30,20:30,Coviran Granada,MoraBanc And
Abr Vie 30,20:30,Valencia Basket,Río Breogán
