Fecha,Hora,Casa,Visitante
Sáb 19,20:45,UCAM Murcia,Joventut
Dom 20,12:30,Real Madrid,MoraBanc And
Dom 20,12:30,Hiopos Lleida,Valencia Basket
Dom 20,17:00,Baskonia,La Laguna TFE
Dom 20,17:00,Río Breogán,Casademont Zgz
Dom 20,18:30,Barça,Dreamland GC
Sáb 26,17:00,Casademont Zgz,Dreamland GC
Sáb 26,17:00,Coviran Granada,BAXI Manresa
Sáb 26,19:30,Río Breogán,Joventut
Sáb 26,19:30,La Laguna TFE,Leyma Coruña
Dom 27,12:30,Bàsquet Girona,Real Madrid
Dom 27,12:30,Valencia Basket,Baskonia
Dom 27,17:00,MoraBanc And,Hiopos Lleida
Dom 27,17:00,Surne Bilbao,UCAM Murcia
Dom 27,18:30,Barça,Unicaja
Sáb 3,18:00,Joventut,Surne Bilbao
Sáb 3,18:00,Baskonia,Casademont Zgz
Sáb 3,20:45,BAXI Manresa,Río Breogán
Sáb 3,20:45,Dreamland GC,Coviran Granada
Dom 4,12:30,Bàsquet Girona,La Laguna TFE
Dom 4,12:30,Unicaja,MoraBanc And
Dom 4,17:00,Hiopos Lleida,UCAM Murcia
Dom 4,17:00,Leyma Coruña,Barça
Dom 4,18:30,Real Madrid,Valencia Basket
Sáb 10,18:00,Surne Bilbao,Leyma Coruña
Sáb 10,18:00,MoraBanc And,Bàsquet Girona
Sáb 10,20:45,Valencia Basket,Dreamland GC
Sáb 10,20:45,Joventut,Baskonia
Dom 11,12:30,Casademont Zgz,Coviran Granada
Dom 11,13:00,La Laguna TFE,Unicaja
Dom 11,17:00,Barça,Hiopos Lleida
Dom 11,17:00,UCAM Murcia,BAXI Manresa
Dom 11,18:30,Río Breogán,Real Madrid
Sáb 17,18:00,Leyma Coruña,MoraBanc And
Sáb 17,18:00,Coviran Granada,Río Breogán
Sáb 17,20:45,Dreamland GC,Joventut
Sáb 17,20:45,Bàsquet Girona,Valencia Basket
Dom 18,12:30,BAXI Manresa,Real Madrid
Dom 18,12:30,Unicaja,UCAM Murcia
Dom 18,17:00,Surne Bilbao,Casademont Zgz
Dom 18,17:00,Hiopos Lleida,La Laguna TFE
Dom 18,18:30,Baskonia,Barça
Sáb 24,18:00,Joventut,Casademont Zgz
Sáb 24,18:00,MoraBanc And,BAXI Manresa
Sáb 24,20:45,Baskonia,Surne Bilbao
Sáb 24,20:45,UCAM Murcia,Leyma Coruña
Dom 25,12:30,Hiopos Lleida,Unicaja
Dom 25,13:00,La Laguna TFE,Valencia Basket
Dom 25,17:00,Río Breogán,Dreamland GC
Dom 25,17:00,Barça,Bàsquet Girona
Dom 25,17:00,Real Madrid,Coviran Granada
Vie 30,20:30,Dreamland GC,UCAM Murcia
Vie 30,20:30,Bàsquet Girona,Hiopos Lleida
Vie 30,20:30,Casademont Zgz,Real Madrid
Vie 30,20:30,Surne Bilbao,Barça
Vie 30,20:30,BAXI Manresa,La Laguna TFE
Vie 30,20:30,Leyma Coruña,Baskonia
Vie 30,20:30,Unicaja,Joventut
Vie 30,20:30,Coviran Granada,MoraBanc And
Vie 30,20:30,Valencia Basket,Río Breogán
